"","user_rating_ver","size_bytes","price","price_degree","avg_rating_count_ver","rating_count_ver","sup_devices_num","cont_rating","ipad_sc_urls_num","lang_num","vpp_lic","cont_rating_degree"
"252",2,15313920,0.99,"Low",0.025,1,40,17,5,1,TRUE,"High"
"253",0,69816320,0,"Low",0,0,37,17,3,1,TRUE,"High"
"254",4.5,32848910,1.99,"Low",9.27659574468085,436,47,4,4,1,TRUE,"Low"
"255",4,52821364,4.99,"Low",665.191489361702,31264,47,17,0,1,TRUE,"High"
"256",4,146507776,0,"Low",1.37837837837838,51,37,4,0,1,TRUE,"Low"
"257",0,24747008,0,"Low",0,0,37,4,5,19,TRUE,"Low"
"258",4.5,89517056,0,"Low",7.56756756756757,280,37,4,4,1,TRUE,"Low"
"259",4,40722432,0,"Low",6.2972972972973,233,37,4,2,12,TRUE,"Low"
"260",4,73332736,0.99,"Low",0.297297297297297,11,37,4,5,1,TRUE,"Low"
"261",4.5,83906560,0,"Low",1.56756756756757,58,37,12,0,1,TRUE,"Middle"
"262",0,76644352,0,"Low",0,0,37,4,5,1,TRUE,"Low"
"263",4.5,37340259,0.99,"Low",33.2093023255814,1428,43,17,0,1,TRUE,"High"
"264",5,26137600,1.99,"Low",0.027027027027027,1,37,4,0,1,TRUE,"Low"
"265",5,107816960,0,"Low",2.05405405405405,76,37,4,0,1,TRUE,"Low"
"266",4.5,152700928,0,"Low",4.89189189189189,181,37,4,5,19,TRUE,"Low"
"267",0,112024576,0,"Low",0,0,37,4,0,16,TRUE,"Low"
"268",5,35864576,9.99,"Normal",0.0789473684210526,3,38,4,5,2,TRUE,"Low"
"269",4.5,49594368,3.99,"Low",68.9473684210526,2620,38,9,5,26,TRUE,"Middle"
"270",5,114081792,2.99,"Low",0.162162162162162,6,37,4,5,15,TRUE,"Low"
"271",4.5,91267072,0,"Low",0.189189189189189,7,37,9,4,14,TRUE,"Middle"
"272",5,8821760,4.99,"Low",184.447368421053,7009,38,4,5,9,TRUE,"Low"
"273",5,69513216,2.99,"Low",0.0263157894736842,1,38,4,4,1,TRUE,"Low"
"274",4,7767040,0.99,"Low",0.189189189189189,7,37,4,3,1,TRUE,"Low"
"275",5,88702976,0,"Low",127.675675675676,4724,37,12,5,10,TRUE,"Middle"
"276",3,175966208,0,"Low",2.81578947368421,107,38,4,0,10,TRUE,"Low"
"277",5,84791296,0,"Low",0.157894736842105,6,38,4,0,2,TRUE,"Low"
"278",0,27997184,2.99,"Low",0,0,37,4,0,31,TRUE,"Low"
"279",0,131463168,0,"Low",0,0,37,4,5,6,TRUE,"Low"
"280",4.5,5415000,1.99,"Low",6.55555555555556,295,45,4,0,1,TRUE,"Low"
"281",0,126867456,0,"Low",0,0,37,4,5,3,TRUE,"Low"
"282",4,878883840,4.99,"Low",1.92105263157895,73,38,17,5,6,TRUE,"High"
"283",2.5,88773632,0,"Low",0.486486486486487,18,37,4,0,1,TRUE,"Low"
"284",3,812758016,2.99,"Low",1.13513513513514,42,37,12,4,6,TRUE,"Middle"
"285",4.5,28616704,0,"Low",66.2368421052632,2517,38,4,5,8,TRUE,"Low"
"286",5,7111680,0,"Low",3.37837837837838,125,37,4,5,1,TRUE,"Low"
"287",3.5,34056767,0,"Low",5.25581395348837,226,43,4,0,1,TRUE,"Low"
"288",5,21450752,0.99,"Low",3.30232558139535,142,43,4,0,1,TRUE,"Low"
"289",0,97879040,0,"Low",0,0,37,4,5,1,TRUE,"Low"
"290",4,22299021,0.99,"Low",17.5106382978723,823,47,4,0,1,TRUE,"Low"
"291",4.5,10231808,2.99,"Low",2.78947368421053,106,38,9,0,1,TRUE,"Middle"
"292",4.5,132480000,2.99,"Low",2.56756756756757,95,37,4,5,2,TRUE,"Low"
"293",4.5,47182848,2.99,"Low",29.4324324324324,1089,37,4,5,1,TRUE,"Low"
"294",4.5,100048896,1.99,"Low",35.9473684210526,1366,38,4,2,1,TRUE,"Low"
"295",4.5,174839808,0.99,"Low",8.10810810810811,300,37,4,0,7,TRUE,"Low"
"296",4,13725696,2.99,"Low",38.6315789473684,1468,38,9,4,1,TRUE,"Middle"
"297",1,11369472,0.99,"Low",0.027027027027027,1,37,4,4,5,TRUE,"Low"
"298",5,155857920,0,"Low",0.864864864864865,32,37,17,5,2,TRUE,"High"
"299",0,38718464,0.99,"Low",0,0,40,4,0,2,TRUE,"Low"
"300",4.5,17879270,0.99,"Low",30.3829787234043,1428,47,12,0,1,TRUE,"Middle"
"301",0,96635904,0,"Low",0,0,37,12,0,1,TRUE,"Middle"
"302",0,8039424,3.99,"Low",0,0,37,9,5,1,TRUE,"Middle"
"303",4,105379840,0.99,"Low",17.8947368421053,680,38,9,0,5,TRUE,"Middle"
"304",4,199585792,0,"Low",0.297297297297297,11,37,17,5,2,TRUE,"High"
"305",1,244516864,0,"Low",0.027027027027027,1,37,17,5,2,TRUE,"High"
"306",5,123450368,0,"Low",0.027027027027027,1,37,12,5,1,TRUE,"Middle"
